原始词语,ABCD,ABDC,ACBD,ACDB,ADBC,ADCB,BACD,BADC,BCAD,BCDA,BDAC,BDCA,CABD,CADB,CBAD,CBDA,CDAB,CDBA,DABC,DACB,DBAC,DBCA,DCAB
천고마비,천고비마,천마고비,천마비고,천비고마,천비마고,고천마비,고천비마,고마천비,고마비천,고비천마,고비마천,마천고비,마천비고,마고천비,마고비천,마비천고,마비고천,비천고마,비천마고,비고천마,비고마천,비마천고,비마고천
어부지리,어부리지,어지부리,어지리부,어리부지,어리지부,부어지리,부어리지,부지어리,부지리어,부리어지,부리지어,지어부리,지어리부,지부어리,지부리어,지리어부,지리부어,리어부지,리어지부,리부어지,리부지어,리지어부,리지부어
동문서답,동문답서,동서문답,동서답문,동답문서,동답서문,문동서답,문동답서,문서동답,문서답동,문답동서,문답서동,서동문답,서동답문,서문동답,서문답동,서답동문,서답문동,답동문서,답동서문,답문동서,답문서동,답서동문,답서문동
설상가상,설상상가,설가상상,설가상상,설상상가,설상가상,상설가상,상설상가,상가설상,상가상설,상상설가,상상가설,가설상상,가설상상,가상설상,가상상설,가상설상,가상상설,상설상가,상설가상,상상설가,상상가설,상가설상,상가상설
과유불급,과유급불,과불유급,과불급유,과급유불,과급불유,유과불급,유과급불,유불과급,유불급과,유급과불,유급불과,불과유급,불과급유,불유과급,불유급과,불급과유,불급유과,급과유불,급과불유,급유과불,급유불과,급불과유,급불유과
용두사미,용두미사,용사두미,용사미두,용미두사,용미사두,두용사미,두용미사,두사용미,두사미용,두미용사,두미사용,사용두미,사용미두,사두용미,사두미용,사미용두,사미두용,미용두사,미용사두,미두용사,미두사용,미사용두,미사두용
금상첨화,금상화첨,금첨상화,금첨화상,금화상첨,금화첨상,상금첨화,상금화첨,상첨금화,상첨화금,상화금첨,상화첨금,첨금상화,첨금화상,첨상금화,첨상화금,첨화금상,첨화상금,화금상첨,화금첨상,화상금첨,화상첨금,화첨금상,화첨상금
막상막하,막상하막,막막상하,막막하상,막하상막,막하막상,상막막하,상막하막,상막막하,상막하막,상하막막,상하막막,막막상하,막막하상,막상막하,막상하막,막하막상,막하상막,하막상막,하막막상,하상막막,하상막막,하막막상,하막상막
고진감래,고진래감,고감진래,고감래진,고래진감,고래감진,진고감래,진고래감,진감고래,진감래고,진래고감,진래감고,감고진래,감고래진,감진고래,감진래고,감래고진,감래진고,래고진감,래고감진,래진고감,래진감고,래감고진,래감진고
구사일생,구사생일,구일사생,구일생사,구생사일,구생일사,사구일생,사구생일,사일구생,사일생구,사생구일,사생일구,일구사생,일구생사,일사구생,일사생구,일생구사,일생사구,생구사일,생구일사,생사구일,생사일구,생일구사,생일사구
일석이조,일석조이,일이석조,일이조석,일조석이,일조이석,석일이조,석일조이,석이일조,석이조일,석조일이,석조이일,이일석조,이일조석,이석일조,이석조일,이조일석,이조석일,조일석이,조일이석,조석일이,조석이일,조이일석,조이석일
유유상종,유유종상,유상유종,유상종유,유종유상,유종상유,유유상종,유유종상,유상유종,유상종유,유종유상,유종상유,상유유종,상유종유,상유유종,상유종유,상종유유,상종유유,종유유상,종유상유,종유유상,종유상유,종상유유,종상유유
팔방미인,팔방인미,팔미방인,팔미인방,팔인방미,팔인미방,방팔미인,방팔인미,방미팔인,방미인팔,방인팔미,방인미팔,미팔방인,미팔인방,미방팔인,미방인팔,미인팔방,미인방팔,인팔방미,인팔미방,인방팔미,인방미팔,인미팔방,인미방팔
대기만성,대기성만,대만기성,대만성기,대성기만,대성만기,기대만성,기대성만,기만대성,기만성대,기성대만,기성만대,만대기성,만대성기,만기대성,만기성대,만성대기,만성기대,성대기만,성대만기,성기대만,성기만대,성만대기,성만기대
사필귀정,사필정귀,사귀필정,사귀정필,사정필귀,사정귀필,필사귀정,필사정귀,필귀사정,필귀정사,필정사귀,필정귀사,귀사필정,귀사정필,귀필사정,귀필정사,귀정사필,귀정필사,정사필귀,정사귀필,정필사귀,정필귀사,정귀사필,정귀필사
함흥차사,함흥사차,함차흥사,함차사흥,함사흥차,함사차흥,흥함차사,흥함사차,흥차함사,흥차사함,흥사함차,흥사차함,차함흥사,차함사흥,차흥함사,차흥사함,차사함흥,차사흥함,사함흥차,사함차흥,사흥함차,사흥차함,사차함흥,사차흥함
이심전심,이심심전,이전심심,이전심심,이심심전,이심전심,심이전심,심이심전,심전이심,심전심이,심심이전,심심전이,전이심심,전이심심,전심이심,전심심이,전심이심,전심심이,심이심전,심이전심,심심이전,심심전이,심전이심,심전심이
부전자전,부전전자,부자전전,부자전전,부전전자,부전자전,전부자전,전부전자,전자부전,전자전부,전전부자,전전자부,자부전전,자부전전,자전부전,자전전부,자전부전,자전전부,전부전자,전부자전,전전부자,전전자부,전자부전,전자전부
자화자찬,자화찬자,자자화찬,자자찬화,자찬화자,자찬자화,화자자찬,화자찬자,화자자찬,화자찬자,화찬자자,화찬자자,자자화찬,자자찬화,자화자찬,자화찬자,자찬자화,자찬화자,찬자화자,찬자자화,찬화자자,찬화자자,찬자자화,찬자화자
우이독경,우이경독,우독이경,우독경이,우경이독,우경독이,이우독경,이우경독,이독우경,이독경우,이경우독,이경독우,독우이경,독우경이,독이우경,독이경우,독경우이,독경이우,경우이독,경우독이,경이우독,경이독우,경독우이,경독이우
견물생심,견물심생,견생물심,견생심물,견심물생,견심생물,물견생심,물견심생,물생견심,물생심견,물심견생,물심생견,생견물심,생견심물,생물견심,생물심견,생심견물,생심물견,심견물생,심견생물,심물견생,심물생견,심생견물,심생물견
동고동락,동고락동,동동고락,동동락고,동락고동,동락동고,고동동락,고동락동,고동동락,고동락동,고락동동,고락동동,동동고락,동동락고,동고동락,동고락동,동락동고,동락고동,락동고동,락동동고,락고동동,락고동동,락동동고,락동고동
천생연분,천생분연,천연생분,천연분생,천분생연,천분연생,생천연분,생천분연,생연천분,생연분천,생분천연,생분연천,연천생분,연천분생,연생천분,연생분천,연분천생,연분생천,분천생연,분천연생,분생천연,분생연천,분연천생,분연생천
