温柔敦厚,Parallel (Coordinate)
雲散霧消,Parallel (Coordinate)
秋霜烈日,Parallel (Coordinate)
山紫水明,Parallel (Coordinate)
試行錯誤,Parallel (Coordinate)
古今東西,Parallel (Coordinate)
栄達栄耀,Parallel (Coordinate)
南船北馬,Parallel (Coordinate)
激励叱咤,Parallel (Coordinate)
四分五裂,Parallel (Coordinate)
一国一城,Parallel (Coordinate)
高山流水,Parallel (Coordinate)
勤勉実直,Parallel (Coordinate)
百孔千疵,Parallel (Coordinate)
自由自在,Parallel (Coordinate)
疾風怒涛,Parallel (Coordinate)
自由闊達,Parallel (Coordinate)
青天白日,Parallel (Coordinate)
無我夢中,Parallel (Coordinate)
甘言蜜語,Parallel (Coordinate)
空理空論,Parallel (Coordinate)
山高水長,Parallel (Coordinate)
七転八倒,Parallel (Coordinate)
安居楽業,Parallel (Coordinate)
厚積薄発,Parallel (Coordinate)
空前絶後,Parallel (Coordinate)
疾風迅雷,Parallel (Coordinate)
深更宵闇,Parallel (Coordinate)
美辞麗句,Parallel (Coordinate)
百戦百勝,Parallel (Coordinate)
大同小異,Parallel (Coordinate)
満身全霊,Parallel (Coordinate)
百聞百見,Parallel (Coordinate)
栄枯盛衰,Parallel (Coordinate)
新進気鋭,Parallel (Coordinate)
風林火山,Parallel (Coordinate)
不眠不休,Parallel (Coordinate)
刻苦勉励,Parallel (Coordinate)
両手両足,Parallel (Coordinate)
経世済民,Parallel (Coordinate)
建前本音,Parallel (Coordinate)
困知勉行,Parallel (Coordinate)
平穏無事,Parallel (Coordinate)
全知全能,Parallel (Coordinate)
徒手空拳,Parallel (Coordinate)
質疑応答,Parallel (Coordinate)
秀才英傑,Parallel (Coordinate)
外柔内剛,Parallel (Coordinate)
酒池肉林,Parallel (Coordinate)
無病長寿,Parallel (Coordinate)
朝三暮四,Parallel (Coordinate)
質実剛健,Parallel (Coordinate)
一喜一悲,Parallel (Coordinate)
同工異曲,Parallel (Coordinate)
遠慮会釈,Parallel (Coordinate)
全身全霊,Parallel (Coordinate)
明鏡止水,Parallel (Coordinate)
手練手管,Parallel (Coordinate)
静寂閑雅,Parallel (Coordinate)
発奮努力,Parallel (Coordinate)
断崖絶壁,Parallel (Coordinate)
厚顔無恥,Parallel (Coordinate)
右往左往,Parallel (Coordinate)
公序良俗,Parallel (Coordinate)
天変地異,Parallel (Coordinate)
勤労感謝,Parallel (Coordinate)
龍驤虎視,Parallel (Coordinate)
針小棒大,Parallel (Coordinate)
良妻賢母,Parallel (Coordinate)
頭寒足熱,Parallel (Coordinate)
遠慮近憂,Parallel (Coordinate)
晴耕雨読,Parallel (Coordinate)
同文同軌,Parallel (Coordinate)
深謀遠慮,Parallel (Coordinate)
是非曲直,Parallel (Coordinate)
夏炉冬扇,Parallel (Coordinate)
取捨選択,Parallel (Coordinate)
半死半生,Parallel (Coordinate)
千軍万馬,Parallel (Coordinate)
無為徒食,Parallel (Coordinate)
百発百中,Parallel (Coordinate)
賢良方正,Parallel (Coordinate)
栄枯成敗,Parallel (Coordinate)
離合集散,Parallel (Coordinate)
明朗快活,Parallel (Coordinate)
厚徳温雅,Parallel (Coordinate)
起承転結,Parallel (Coordinate)
千紫万紅,Parallel (Coordinate)
羽毛矢石,Parallel (Coordinate)
驚天動地,Parallel (Coordinate)
無念無想,Parallel (Coordinate)
冷静沈着,Parallel (Coordinate)
愛別離苦,Parallel (Coordinate)
流言飛語,Parallel (Coordinate)
異体同心,Parallel (Coordinate)
安心立命,Parallel (Coordinate)
一喜一憂,Parallel (Coordinate)
奇想奇策,Parallel (Coordinate)
王道楽土,Parallel (Coordinate)
天長地久,Parallel (Coordinate)
自画自賛,Parallel (Coordinate)
悪口雑言,Parallel (Coordinate)
一意専心,Parallel (Coordinate)
悪戦苦闘,Parallel (Coordinate)
難攻不落,Parallel (Coordinate)
千客万来,Parallel (Coordinate)
一朝一夕,Parallel (Coordinate)
盛衰興亡,Parallel (Coordinate)
一長一短,Parallel (Coordinate)
東西南北,Parallel (Coordinate)
無為自然,Parallel (Coordinate)
良識賢察,Parallel (Coordinate)
面従腹背,Parallel (Coordinate)
独断専行,Parallel (Coordinate)
無知蒙昧,Parallel (Coordinate)
傾城傾国,Parallel (Coordinate)
文武両道,Parallel (Coordinate)
一刻一刻,Parallel (Coordinate)
立身出世,Parallel (Coordinate)
鼓腹撃壌,Parallel (Coordinate)
情状酌量,Parallel (Coordinate)
門前市市,Parallel (Coordinate)
弱肉強食,Parallel (Coordinate)
縁起担担,Parallel (Coordinate)
百折不撓,Parallel (Coordinate)
一視同仁,Parallel (Coordinate)
釈迦牟尼,Parallel (Coordinate)
起死回生,Parallel (Coordinate)
縦横無尽,Parallel (Coordinate)
天真爛漫,Parallel (Coordinate)
当意即妙,Parallel (Coordinate)
急転直下,Parallel (Coordinate)
温故知新,Parallel (Coordinate)
馬耳東風,Parallel (Coordinate)
二束三文,Parallel (Coordinate)
天地長久,Parallel (Coordinate)
相互扶助,Parallel (Coordinate)
雲外蒼天,Parallel (Coordinate)
卓越超群,Parallel (Coordinate)
荒廃無人,Complementary
堅如磐石,Complementary
秀麗無比,Complementary
勇猛無比,Complementary
恐悦至極,Complementary
堅忍不抜,Complementary
確乎不抜,Complementary
再起不能,Complementary
破鏡重円,Complementary
以心為心,Verb-Object
一騎当千,Verb-Object
意気消沈,Verb-Object
公私混同,Verb-Object
志操堅固,Verb-Object
長短一考,Verb-Object
百家争鳴,Verb-Object
真偽不明,Verb-Object
忠孝両全,Verb-Object
点滴穿石,Verb-Object
浮雲翳日,Verb-Object
若気至り,Verb-Object
孤軍奮闘,Verb-Object
名実相伴,Verb-Object
自業自得,Verb-Object
満身創痍,Verb-Object
挙国一致,Verb-Object
乾坤一擲,Verb-Object
変幻自在,Verb-Object
一石二得,Verb-Object
波乱万丈,Verb-Object
一世風靡,Verb-Object
活殺自在,Verb-Object
冷汗三斗,Verb-Object
前代未聞,Verb-Object
自力更生,Verb-Object
一心同体,Verb-Object
一心不乱,Verb-Object
同床異夢,Verb-Object
虎視眈々,Verb-Object
神妙不可思,Verb-Object
危機一髪,Verb-Object
用意周到,Verb-Object
茶飯事常,Verb-Object
一路順風,Verb-Object
理路整然,Verb-Object
浅学非才,Verb-Object
豊年満作,Verb-Object
以逸待労,Serial Verb
縁木求魚,Serial Verb
単刀直入,Serial Verb
開口一番,Serial Verb
抱腹絶倒,Serial Verb
一触即金,Serial Verb
一触即発,Serial Verb
熟慮断行,Serial Verb
破顔一笑,Serial Verb
臥薪嘗胆,Serial Verb
羽化登仙,Serial Verb
画蛇添足,Serial Verb
守株待兔,Serial Verb
画竜点睛,Serial Verb
格物致知,Serial Verb
隔靴掻痒,Serial Verb
勇往邁進,Serial Verb
見参入道,Serial Verb
有終完美,Serial Verb
循序漸進,Serial Verb
同舟相救,Serial Verb
偕老同穴,Serial Verb
臨機応変,Serial Verb
以心伝心,Serial Verb
我田引水,Serial Verb
直情径行,Serial Verb
一望千里,Serial Verb
改過自新,Serial Verb
日光浴楽,Serial Verb
横行闊歩,Serial Verb
一攫千金,Serial Verb
一石二鳥,Serial Verb
日進精進,Serial Verb
城姑復仇,Serial Verb
平身低頭,Serial Verb
直立不動,Serial Verb
月下氷人,Modifier-Head
梨園染物,Modifier-Head
希代珍宝,Modifier-Head
誇大妄想,Modifier-Head
電光影裏,Modifier-Head
四面楚歌,Modifier-Head
金石之交,Modifier-Head
因果関係,Modifier-Head
一衣帯水,Modifier-Head
春宵一刻,Modifier-Head
破竹之勢,Modifier-Head
空中分解,Modifier-Head
空中楼閣,Modifier-Head
青天霹靂,Modifier-Head
傾国美女,Modifier-Head
百戦錬磨,Modifier-Head
隔世遺伝,Modifier-Head
異国情緒,Modifier-Head
門外漢読,Modifier-Head
八方美人,Modifier-Head
一網打尽,Modifier-Head
一部始終,Modifier-Head
一期栄華,Modifier-Head
一刀両断,Modifier-Head
大盤振舞,Modifier-Head
手前味噌,Modifier-Head
反面教師,Modifier-Head
南柯一夢,Modifier-Head
臨戦態勢,Modifier-Head
騎虎之勢,Modifier-Head
利己主義,Modifier-Head
急所一撃,Modifier-Head
十二単衣,Modifier-Head
中流砥柱,Modifier-Head
田園風光,Modifier-Head
九牛一毛,Modifier-Head
中庸之道,Modifier-Head
暗中模索,Modifier-Head
千載一遇,Modifier-Head
人生行路,Modifier-Head
古今無双,Modifier-Head
永劫回帰,Modifier-Head
以毒制毒,Modifier-Head
天賦英才,Modifier-Head
生々流転,Modifier-Head
局外中立,Modifier-Head
快刀乱麻,Modifier-Head
一蓮托生,Modifier-Head
厳正中立,Modifier-Head
大安吉日,Modifier-Head
不言実行,Modifier-Head
十中八九,Modifier-Head
長短併せ,Modifier-Head
薄利多売,Modifier-Head
一網無漏,Modifier-Head
一望無際,Modifier-Head
一刻千金,Modifier-Head
小心翼々,Modifier-Head
士魂商才,Modifier-Head
光風霽月,Modifier-Head
荒唐無稽,Modifier-Head
半信半疑,Modifier-Head
日進月歩,Modifier-Head
絶体絶命,Modifier-Head
竜頭蛇尾,Modifier-Head
共存共栄,Modifier-Head
常住坐臥,Modifier-Head
公明正大,Modifier-Head
豪放磊落,Modifier-Head
千変万化,Modifier-Head
天地神明,Modifier-Head
内柔外剛,Modifier-Head
行雲流水,Modifier-Head
高論卓説,Modifier-Head
春夏秋冬,Modifier-Head
厳冬酷暑,Modifier-Head
厳寒酷暑,Modifier-Head
文人墨客,Modifier-Head
支離滅裂,Modifier-Head
千差万別,Modifier-Head
献身尽力,Modifier-Head
孤立無援,Modifier-Head
神出鬼没,Modifier-Head
栄枯転変,Modifier-Head
鶏口牛後,Modifier-Head
泰然自若,Modifier-Head
昨日今日,Modifier-Head
大義名分,Modifier-Head
理非曲直,Modifier-Head
三寒四温,Modifier-Head
海千山千,Modifier-Head
回山倒海,Modifier-Head
因循姑息,Modifier-Head
虚心坦懐,Modifier-Head
七転八起,Modifier-Head
不言不語,Modifier-Head
不即不離,Modifier-Head
電光石火,Modifier-Head
安穏無事,Modifier-Head
暴飲暴食,Modifier-Head
危急存亡,Modifier-Head
無理無体,Modifier-Head
順風満帆,Modifier-Head
右顧左眄,Modifier-Head
共存同栄,Modifier-Head
内憂外患,Modifier-Head
温良恭倹,Modifier-Head
清風霽月,Modifier-Head
喜怒哀楽,Modifier-Head
沈思黙考,Modifier-Head
花鳥風月,Modifier-Head
一挙一動,Modifier-Head
金科玉条,Modifier-Head
一期一会,Modifier-Head
森羅万象,Modifier-Head
花紅柳緑,Modifier-Head
自給自足,Modifier-Head
一往一来,Modifier-Head
博学多才,Modifier-Head
換骨奪胎,Modifier-Head
清廉潔白,Modifier-Head
東西冷熱,Modifier-Head
勇猛果敢,Modifier-Head
一致団結,Modifier-Head
吐故納新,Modifier-Head
呆然自失,Modifier-Head
九死一生,Modifier-Head
栄耀栄華,Modifier-Head
自暴自棄,Modifier-Head
金城鉄壁,Modifier-Head
有名無実,Modifier-Head
青息吐息,Modifier-Head
適材適所,Modifier-Head
精励恪勤,Modifier-Head
八面六臂,Modifier-Head
一進一退,Modifier-Head
虚実皮膜,Modifier-Head
一宿一飯,Modifier-Head
英雄豪傑,Modifier-Head
巧言令色,Modifier-Head
温厚篤実,Modifier-Head
自由奔放,Modifier-Head
先憂後楽,Modifier-Head
四苦八苦,Modifier-Head
不撓不屈,Modifier-Head
明々白々,Modifier-Head
夕焼小焼,Modifier-Head
明窓浄机,Modifier-Head
敬天愛人,Modifier-Head
金城湯池,Modifier-Head
粉骨砕身,Modifier-Head
松竹梅花,Modifier-Head
異口同音,Modifier-Head
労苦功徳,Modifier-Head
兄弟姉妹,Modifier-Head
博覧強記,Modifier-Head
深山幽谷,Modifier-Head
紅毛碧眼,Modifier-Head
無色透明,Modifier-Head
無病息災,Modifier-Head
東奔西走,Modifier-Head
五臓六腑,Modifier-Head
大言壮語,Modifier-Head
三拝九拝,Modifier-Head
老若男女,Modifier-Head
才子多情,Subject-Predicate
感慨無量,Subject-Predicate
英姿颯爽,Subject-Predicate
百鬼夜行,Subject-Predicate
死生有命,Subject-Predicate
和気藹々,Subject-Predicate
百花繚乱,Subject-Predicate
才気煥発,Subject-Predicate
因果応報,Subject-Predicate
油断大敵,Subject-Predicate
適者生存,Subject-Predicate
協力無比,Subject-Predicate
家内安全,Subject-Predicate
奇想天外,Subject-Predicate
読書三昧,Subject-Predicate
意気軒昂,Subject-Predicate
閑話休題,Subject-Predicate
盛者必衰,Subject-Predicate
勇気凛凛,Subject-Predicate
天下無双,Subject-Predicate
気骨稜稜,Subject-Predicate
大願成就,Subject-Predicate
会者定離,Subject-Predicate
美人薄命,Subject-Predicate
才色兼備,Subject-Predicate
意気投合,Subject-Predicate
精神一到,Subject-Predicate
主客転倒,Subject-Predicate
天衣無縫,Subject-Predicate
玉石混交,Subject-Predicate
満場一致,Subject-Predicate
善悪不二,Subject-Predicate
言行一致,Subject-Predicate
骨肉相食,Subject-Predicate
風光明媚,Subject-Predicate
気宇壮大,Subject-Predicate
心機一転,Subject-Predicate
群雄割拠,Subject-Predicate
