原始词语,ABCD,ABDC,ACBD,ACDB,ADBC,ADCB,BACD,BADC,BCAD,BCDA,BDAC,BDCA,CABD,CADB,CBAD,CBDA,CDAB,CDBA,DABC,DACB,DBAC,DBCA,DCAB,DCBA,COL_1,COL_2,COL_3,COL_4,COL_5,COL_6,COL_7,COL_8,COL_9,COL_10,COL_11,COL_12,COL_13,COL_14,COL_15,COL_16,COL_17,COL_18,COL_19,COL_20,COL_21,COL_22,COL_23,COL_24,COL_25,COL_26,COL_27,COL_28,COL_29,COL_30,COL_31,COL_32,COL_33,COL_34,COL_35,COL_36,COL_37,COL_38,COL_39,COL_40,COL_41,COL_42,COL_43,COL_44,COL_45,COL_46,COL_47,COL_48,COL_49,COL_50,COL_51,COL_52,COL_53,COL_54,COL_55,COL_56,COL_57,COL_58,COL_59,COL_60,COL_61,COL_62,COL_63,COL_64,COL_65,COL_66,COL_67,COL_68,COL_69,COL_70,COL_71,COL_72,COL_73,COL_74,COL_75,COL_76,COL_77,COL_78,COL_79,COL_80,COL_81,COL_82,COL_83,COL_84,COL_85,COL_86,COL_87,COL_88,COL_89,COL_90,COL_91,COL_92,COL_93,COL_94,COL_95
起死回生,起死生回,起回死生,起回生死,起生死回,起生回死,死起回生,死起生回,死回起生,死回生起,死生起回,死生回起,回起死生,回起生死,回死起生,回死生起,回生起死,回生死起,生起死回,生起回死,生死起回,生死回起,生回起死,生回死起,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温故知新,温故新知,温知故新,温知新故,温新故知,温新知故,故温知新,故温新知,故知温新,故知新温,故新温知,故新知温,知温故新,知温新故,知故温新,知故新温,知新温故,知新故温,新温故知,新温知故,新故温知,新故知温,新知温故,新知故温,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
弱肉強食,弱肉食強,弱強肉食,弱強食肉,弱食肉強,弱食強肉,肉弱強食,肉弱食強,肉強弱食,肉強食弱,肉食弱強,肉食強弱,強弱肉食,強弱食肉,強肉弱食,強肉食弱,強食弱肉,強食肉弱,食弱肉強,食弱強肉,食肉弱強,食肉強弱,食強弱肉,食強肉弱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大器晩成,大器成晩,大晩器成,大晩成器,大成器晩,大成晩器,器大晩成,器大成晩,器晩大成,器晩成大,器成大晩,器成晩大,晩大器成,晩大成器,晩器大成,晩器成大,晩成大器,晩成器大,成大器晩,成大晩器,成器大晩,成器晩大,成晩大器,成晩器大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臥薪嘗胆,臥薪胆嘗,臥嘗薪胆,臥嘗胆薪,臥胆薪嘗,臥胆嘗薪,薪臥嘗胆,薪臥胆嘗,薪嘗臥胆,薪嘗胆臥,薪胆臥嘗,薪胆嘗臥,嘗臥薪胆,嘗臥胆薪,嘗薪臥胆,嘗薪胆臥,嘗胆臥薪,嘗胆薪臥,胆臥薪嘗,胆臥嘗薪,胆薪臥嘗,胆薪嘗臥,胆嘗臥薪,胆嘗薪臥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自業自得,自業得自,自自業得,自自得業,自得業自,自得自業,業自自得,業自得自,業自自得,業自得自,業得自自,業得自自,自自業得,自自得業,自業自得,自業得自,自得自業,自得業自,得自業自,得自自業,得業自自,得業自自,得自自業,得自業自,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
以心伝心,以心心伝,以伝心心,以伝心心,以心心伝,以心伝心,心以伝心,心以心伝,心伝以心,心伝心以,心心以伝,心心伝以,伝以心心,伝以心心,伝心以心,伝心心以,伝心以心,伝心心以,心以心伝,心以伝心,心心以伝,心心伝以,心伝以心,心伝心以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公明正大,公明大正,公正明大,公正大明,公大明正,公大正明,明公正大,明公大正,明正公大,明正大公,明大公正,明大正公,正公明大,正公大明,正明公大,正明大公,正大公明,正大明公,大公明正,大公正明,大明公正,大明正公,大正公明,大正明公,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
危機一髪,危機髪一,危一機髪,危一髪機,危髪機一,危髪一機,機危一髪,機危髪一,機一危髪,機一髪危,機髪危一,機髪一危,一危機髪,一危髪機,一機危髪,一機髪危,一髪危機,一髪機危,髪危機一,髪危一機,髪機危一,髪機一危,髪一危機,髪一機危,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支離滅裂,支離裂滅,支滅離裂,支滅裂離,支裂離滅,支裂滅離,離支滅裂,離支裂滅,離滅支裂,離滅裂支,離裂支滅,離裂滅支,滅支離裂,滅支裂離,滅離支裂,滅離裂支,滅裂支離,滅裂離支,裂支離滅,裂支滅離,裂離支滅,裂離滅支,裂滅支離,裂滅離支,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
