작심삼일,결심이 오래가지 못하고 금방 흐지부지됨
천고마비,가을이 되어 하늘이 높고 말이 살찔 만큼 풍요롭고 상쾌한 계절임
어부지리,두 사람이 다투는 사이에 제삼자가 이익을 얻음
동문서답,묻는 말과 관계없는 대답을 함
설상가상,불행한 일 위에 또 불행이 겹침||난처한 일이 연이어 발생함
과유불급,지나침은 모자람과 같아 지나친 것도 좋지 않음
용두사미,처음은 거창하나 끝이 흐지부지함
금상첨화,좋은 일이나 상태에 더 좋은 것이 보태어짐
막상막하,서로 비슷하여 우열을 가리기 어려움
고진감래,고생 끝에 즐거움이 옴
구사일생,매우 위험한 상황에서 가까스로 살아남음
일석이조,한 가지 일로 두 가지 이익을 얻음
유유상종,비슷한 사람끼리 서로 모임
팔방미인,여러 방면에서 능력이 뛰어난 사람||누구에게나 잘 보이려는 사람(뚜렷한 입장이 없음)
대기만성,큰 인물은 이루는 데 시간이 오래 걸림||큰일은 늦게 성사됨
사필귀정,모든 일은 결국 옳은 이치대로 돌아감||정의가 결국 이김
함흥차사,심부름을 가서 소식이 없거나 돌아오지 않는 사람
이심전심,말하지 않아도 서로 마음을 앎||마음으로 통함
부전자전,버지의 성격·재능 등이 아들에게 그대로 전해짐
자화자찬,자기가 한 일을 스스로 칭찬함||자기 자랑
우이독경,"소의 귀에 대고 경을 읽는다는 뜻으로, 아무리 가르치고 일러 주어도 알아듣지 못함을 이르는 말"
견물생심,물건을 보면 그것을 가지고 싶은 욕심이 생김
동고동락,괴로움도 즐거움도 함께함
천생연분,하늘이 정하여 준 연분
인산인해,"사람이 산을 이루고 바다를 이룬다는 뜻으로, 사람이 헤아릴 수 없이 많이 모인 상태를 이르는 말"
권선징악,착한 일을 권장하고 악한 일을 징계함
역지사지,처지를 바꾸어서 생각하여 봄
군계일학,"닭의 무리 가운데에서 한 마리의 학이라는 뜻으로, 많은 사람 가운데서 뛰어난 인물을 이르는 말"
전화위복,재앙과 화가 바뀌어 오히려 복이 됨
풍전등화,"바람 앞의 등불이라는 뜻으로, 사물이 매우 위태로운 처지에 놓여 있음을 비유적으로 이르는 말"
자초지종,처음부터 끝까지의 일
허심탄회,품은 생각을 터놓고 말할 만큼 아무 거리낌이 없고 솔직함
안빈낙도,가난한 생활을 하면서도 편안한 마음으로 도를 즐겨 지킴
자업자득,자기가 저지른 일의 결과를 자기가 받음
오매불망,자나 깨나 잊지 못함
유언비어,아무 근거 없이 널리 퍼진 소문
각골난망,남에게 입은 은혜가 뼈에 새길 만큼 커서 잊히지 아니함
전전긍긍,매우 두려워하여 조심함
